Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
401,Mistral-Large-3,Baseline,1,1,Low,HIGHER,12000
402,Mistral-Large-3,Baseline,1,2,Low,HIGHER,12000
403,Mistral-Large-3,Baseline,1,3,Low,HIGHER,12000
404,Mistral-Large-3,Baseline,1,4,Low,HIGHER,12000
405,Mistral-Large-3,Baseline,1,5,Low,HIGHER,12000
406,Mistral-Large-3,Baseline,1,6,Low,HIGHER,12000
407,Mistral-Large-3,Baseline,1,7,Low,HIGHER,12000
408,Mistral-Large-3,Baseline,1,8,Low,HIGHER,12000
409,Mistral-Large-3,Baseline,1,1,High,HIGHER,12000
410,Mistral-Large-3,Baseline,1,2,High,HIGHER,12000
411,Mistral-Large-3,Baseline,1,3,High,HIGHER,12000
412,Mistral-Large-3,Baseline,1,4,High,HIGHER,12000
413,Mistral-Large-3,Baseline,1,5,High,HIGHER,12000
414,Mistral-Large-3,Baseline,1,6,High,HIGHER,12000
415,Mistral-Large-3,Baseline,1,7,High,HIGHER,12000
416,Mistral-Large-3,Baseline,1,8,High,HIGHER,12000
417,Mistral-Large-3,Baseline,2,1,Low,HIGHER,13
418,Mistral-Large-3,Baseline,2,2,Low,HIGHER,12
419,Mistral-Large-3,Baseline,2,3,Low,HIGHER,13
420,Mistral-Large-3,Baseline,2,4,Low,HIGHER,13
421,Mistral-Large-3,Baseline,2,5,Low,HIGHER,13
422,Mistral-Large-3,Baseline,2,6,Low,HIGHER,13
423,Mistral-Large-3,Baseline,2,7,Low,HIGHER,12
424,Mistral-Large-3,Baseline,2,8,Low,HIGHER,13
425,Mistral-Large-3,Baseline,2,1,High,LOWER,15
426,Mistral-Large-3,Baseline,2,2,High,LOWER,15
427,Mistral-Large-3,Baseline,2,3,High,LOWER,15
428,Mistral-Large-3,Baseline,2,4,High,LOWER,15
429,Mistral-Large-3,Baseline,2,5,High,LOWER,15
430,Mistral-Large-3,Baseline,2,6,High,LOWER,15
431,Mistral-Large-3,Baseline,2,7,High,LOWER,15
432,Mistral-Large-3,Baseline,2,8,High,LOWER,15
433,Mistral-Large-3,Baseline,3,1,Low,HIGHER,115
434,Mistral-Large-3,Baseline,3,2,Low,HIGHER,115
435,Mistral-Large-3,Baseline,3,3,Low,HIGHER,115
436,Mistral-Large-3,Baseline,3,4,Low,HIGHER,115
437,Mistral-Large-3,Baseline,3,5,Low,HIGHER,115
438,Mistral-Large-3,Baseline,3,6,Low,HIGHER,115
439,Mistral-Large-3,Baseline,3,7,Low,HIGHER,115
440,Mistral-Large-3,Baseline,3,8,Low,HIGHER,115
441,Mistral-Large-3,Baseline,3,1,High,LOWER,150
442,Mistral-Large-3,Baseline,3,2,High,LOWER,150
443,Mistral-Large-3,Baseline,3,3,High,LOWER,150
444,Mistral-Large-3,Baseline,3,4,High,LOWER,150
445,Mistral-Large-3,Baseline,3,5,High,LOWER,150
446,Mistral-Large-3,Baseline,3,6,High,LOWER,150
447,Mistral-Large-3,Baseline,3,7,High,LOWER,150
448,Mistral-Large-3,Baseline,3,8,High,LOWER,150
449,Mistral-Large-3,Baseline,4,1,Low,LOWER,7000
450,Mistral-Large-3,Baseline,4,2,Low,LOWER,7000
451,Mistral-Large-3,Baseline,4,3,Low,LOWER,7000
452,Mistral-Large-3,Baseline,4,4,Low,LOWER,7500
453,Mistral-Large-3,Baseline,4,5,Low,LOWER,7500
454,Mistral-Large-3,Baseline,4,6,Low,LOWER,7500
455,Mistral-Large-3,Baseline,4,7,Low,LOWER,7000
456,Mistral-Large-3,Baseline,4,8,Low,LOWER,7000
457,Mistral-Large-3,Baseline,4,1,High,LOWER,11000
458,Mistral-Large-3,Baseline,4,2,High,LOWER,11000
459,Mistral-Large-3,Baseline,4,3,High,LOWER,11000
460,Mistral-Large-3,Baseline,4,4,High,LOWER,11000
461,Mistral-Large-3,Baseline,4,5,High,LOWER,11000
