Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
401,DeepSeek-V3.1,Baseline,1,1,Low,HIGHER,10000
402,DeepSeek-V3.1,Baseline,1,2,Low,HIGHER,5000
403,DeepSeek-V3.1,Baseline,1,3,Low,HIGHER,10000
404,DeepSeek-V3.1,Baseline,1,4,Low,HIGHER,10000
405,DeepSeek-V3.1,Baseline,1,5,Low,HIGHER,5000
406,DeepSeek-V3.1,Baseline,1,6,Low,,2000
407,DeepSeek-V3.1,Baseline,1,7,Low,HIGHER,15000
408,DeepSeek-V3.1,Baseline,1,8,Low,HIGHER,10000
409,DeepSeek-V3.1,Baseline,1,1,High,HIGHER,12000
410,DeepSeek-V3.1,Baseline,1,2,High,HIGHER,12000
411,DeepSeek-V3.1,Baseline,1,3,High,HIGHER,11000
412,DeepSeek-V3.1,Baseline,1,4,High,HIGHER,12000
413,DeepSeek-V3.1,Baseline,1,5,High,HIGHER,10000
414,DeepSeek-V3.1,Baseline,1,6,High,HIGHER,12000
415,DeepSeek-V3.1,Baseline,1,7,High,HIGHER,10000
416,DeepSeek-V3.1,Baseline,1,8,High,HIGHER,11000
417,DeepSeek-V3.1,Baseline,2,1,Low,HIGHER,13
418,DeepSeek-V3.1,Baseline,2,2,Low,HIGHER,16
419,DeepSeek-V3.1,Baseline,2,3,Low,HIGHER,14
420,DeepSeek-V3.1,Baseline,2,4,Low,HIGHER,15
421,DeepSeek-V3.1,Baseline,2,5,Low,HIGHER,12
422,DeepSeek-V3.1,Baseline,2,6,Low,HIGHER,15
423,DeepSeek-V3.1,Baseline,2,7,Low,HIGHER,15
424,DeepSeek-V3.1,Baseline,2,8,Low,HIGHER,14
425,DeepSeek-V3.1,Baseline,2,1,High,LOWER,16
426,DeepSeek-V3.1,Baseline,2,2,High,LOWER,16
427,DeepSeek-V3.1,Baseline,2,3,High,LOWER,16
428,DeepSeek-V3.1,Baseline,2,4,High,LOWER,16
429,DeepSeek-V3.1,Baseline,2,5,High,LOWER,16
430,DeepSeek-V3.1,Baseline,2,6,High,LOWER,15
431,DeepSeek-V3.1,Baseline,2,7,High,LOWER,15
432,DeepSeek-V3.1,Baseline,2,8,High,LOWER,15
433,DeepSeek-V3.1,Baseline,3,1,Low,HIGHER,115
434,DeepSeek-V3.1,Baseline,3,2,Low,HIGHER,130
435,DeepSeek-V3.1,Baseline,3,3,Low,HIGHER,130
436,DeepSeek-V3.1,Baseline,3,4,Low,HIGHER,137
437,DeepSeek-V3.1,Baseline,3,5,Low,HIGHER,137
438,DeepSeek-V3.1,Baseline,3,6,Low,HIGHER,135
439,DeepSeek-V3.1,Baseline,3,7,Low,HIGHER,125
440,DeepSeek-V3.1,Baseline,3,8,Low,HIGHER,135
441,DeepSeek-V3.1,Baseline,3,1,High,HIGHER,264
442,DeepSeek-V3.1,Baseline,3,2,High,HIGHER,270
443,DeepSeek-V3.1,Baseline,3,3,High,HIGHER,280
