,Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
0,1,Llama-3.1-8B,Baseline,1,1,Low,HIGHER,15000
1,2,Llama-3.1-8B,Baseline,1,2,Low,HIGHER,12000
2,3,Llama-3.1-8B,Baseline,1,3,Low,HIGHER,15000
3,4,Llama-3.1-8B,Baseline,1,4,Low,HIGHER,15000
4,5,Llama-3.1-8B,Baseline,1,5,Low,HIGHER,15000
5,6,Llama-3.1-8B,Baseline,1,6,Low,HIGHER,15000
6,7,Llama-3.1-8B,Baseline,1,7,Low,HIGHER,15000
7,8,Llama-3.1-8B,Baseline,1,8,Low,HIGHER,15000
8,9,Llama-3.1-8B,Baseline,1,1,High,HIGHER,12000
11,12,Llama-3.1-8B,Baseline,1,4,High,HIGHER,12000
12,13,Llama-3.1-8B,Baseline,1,5,High,HIGHER,12000
13,14,Llama-3.1-8B,Baseline,1,6,High,HIGHER,12000
14,15,Llama-3.1-8B,Baseline,1,7,High,HIGHER,15000
15,16,Llama-3.1-8B,Baseline,1,8,High,HIGHER,12000
16,17,Llama-3.1-8B,Baseline,2,1,Low,HIGHER,950
17,18,Llama-3.1-8B,Baseline,2,2,Low,HIGHER,1050
18,19,Llama-3.1-8B,Baseline,2,3,Low,HIGHER,1050
21,22,Llama-3.1-8B,Baseline,2,6,Low,HIGHER,950
22,23,Llama-3.1-8B,Baseline,2,7,Low,HIGHER,950
24,25,Llama-3.1-8B,Baseline,2,1,High,LOWER,20
25,26,Llama-3.1-8B,Baseline,2,2,High,LOWER,18
26,27,Llama-3.1-8B,Baseline,2,3,High,HIGHER,1850
27,28,Llama-3.1-8B,Baseline,2,4,High,HIGHER,18
28,29,Llama-3.1-8B,Baseline,2,5,High,HIGHER,18
29,30,Llama-3.1-8B,Baseline,2,6,High,HIGHER,18
30,31,Llama-3.1-8B,Baseline,2,7,High,HIGHER,18
32,33,Llama-3.1-8B,Baseline,3,1,Low,HIGHER,120
33,34,Llama-3.1-8B,Baseline,3,2,Low,HIGHER,120
34,35,Llama-3.1-8B,Baseline,3,3,Low,HIGHER,120
35,36,Llama-3.1-8B,Baseline,3,4,Low,HIGHER,120
36,37,Llama-3.1-8B,Baseline,3,5,Low,HIGHER,120
37,38,Llama-3.1-8B,Baseline,3,6,Low,HIGHER,120
38,39,Llama-3.1-8B,Baseline,3,7,Low,HIGHER,120
39,40,Llama-3.1-8B,Baseline,3,8,Low,HIGHER,120
40,41,Llama-3.1-8B,Baseline,3,1,High,HIGHER,300
41,42,Llama-3.1-8B,Baseline,3,2,High,HIGHER,300
42,43,Llama-3.1-8B,Baseline,3,3,High,HIGHER,300
43,44,Llama-3.1-8B,Baseline,3,4,High,HIGHER,300
44,45,Llama-3.1-8B,Baseline,3,5,High,HIGHER,300
45,46,Llama-3.1-8B,Baseline,3,6,High,HIGHER,260
46,47,Llama-3.1-8B,Baseline,3,7,High,HIGHER,300
47,48,Llama-3.1-8B,Baseline,3,8,High,HIGHER,300
48,49,Llama-3.1-8B,Baseline,4,1,Low,HIGHER,10440
49,50,Llama-3.1-8B,Baseline,4,2,Low,HIGHER,10000
50,51,Llama-3.1-8B,Baseline,4,3,Low,HIGHER,10000
51,52,Llama-3.1-8B,Baseline,4,4,Low,HIGHER,10440
52,53,Llama-3.1-8B,Baseline,4,5,Low,HIGHER,10000
53,54,Llama-3.1-8B,Baseline,4,6,Low,HIGHER,10000
54,55,Llama-3.1-8B,Baseline,4,7,Low,HIGHER,10000
55,56,Llama-3.1-8B,Baseline,4,8,Low,HIGHER,10000
56,57,Llama-3.1-8B,Baseline,4,1,High,HIGHER,10000
57,58,Llama-3.1-8B,Baseline,4,2,High,HIGHER,10000
58,59,Llama-3.1-8B,Baseline,4,3,High,HIGHER,10000
59,60,Llama-3.1-8B,Baseline,4,4,High,HIGHER,12000
60,61,Llama-3.1-8B,Baseline,4,5,High,HIGHER,10000
61,62,Llama-3.1-8B,Baseline,4,6,High,HIGHER,10000
62,63,Llama-3.1-8B,Baseline,4,7,High,HIGHER,10700
63,64,Llama-3.1-8B,Baseline,4,8,High,HIGHER,10300
64,65,Llama-3.1-8B,Baseline,5,1,Low,HIGHER,65
65,66,Llama-3.1-8B,Baseline,5,2,Low,HIGHER,65
66,67,Llama-3.1-8B,Baseline,5,3,Low,HIGHER,55
67,68,Llama-3.1-8B,Baseline,5,4,Low,HIGHER,65
68,69,Llama-3.1-8B,Baseline,5,5,Low,HIGHER,65
70,71,Llama-3.1-8B,Baseline,5,7,Low,HIGHER,60
71,72,Llama-3.1-8B,Baseline,5,8,Low,HIGHER,65
74,75,Llama-3.1-8B,Baseline,5,3,High,HIGHER,150
75,76,Llama-3.1-8B,Baseline,5,4,High,HIGHER,145
77,78,Llama-3.1-8B,Baseline,5,6,High,HIGHER,150
78,79,Llama-3.1-8B,Baseline,5,7,High,HIGHER,130
79,80,Llama-3.1-8B,Baseline,5,8,High,HIGHER,130
80,81,Llama-3.1-8B,Baseline,6,1,Low,HIGHER,38000
81,82,Llama-3.1-8B,Baseline,6,2,Low,HIGHER,35000
82,83,Llama-3.1-8B,Baseline,6,3,Low,HIGHER,35000
83,84,Llama-3.1-8B,Baseline,6,4,Low,HIGHER,35000
84,85,Llama-3.1-8B,Baseline,6,5,Low,HIGHER,38000
85,86,Llama-3.1-8B,Baseline,6,6,Low,HIGHER,38000
86,87,Llama-3.1-8B,Baseline,6,7,Low,HIGHER,35000
87,88,Llama-3.1-8B,Baseline,6,8,Low,HIGHER,35000
88,89,Llama-3.1-8B,Baseline,6,1,High,HIGHER,45000
89,90,Llama-3.1-8B,Baseline,6,2,High,HIGHER,45000
90,91,Llama-3.1-8B,Baseline,6,3,High,HIGHER,45000
91,92,Llama-3.1-8B,Baseline,6,4,High,HIGHER,45000
92,93,Llama-3.1-8B,Baseline,6,5,High,HIGHER,45000
94,95,Llama-3.1-8B,Baseline,6,7,High,HIGHER,45000
95,96,Llama-3.1-8B,Baseline,6,8,High,HIGHER,45000
96,97,Llama-3.1-8B,Baseline,7,1,Low,HIGHER,32
97,98,Llama-3.1-8B,Baseline,7,2,Low,HIGHER,30
98,99,Llama-3.1-8B,Baseline,7,3,Low,HIGHER,32
99,100,Llama-3.1-8B,Baseline,7,4,Low,HIGHER,32
100,101,Llama-3.1-8B,Baseline,7,5,Low,HIGHER,32
101,102,Llama-3.1-8B,Baseline,7,6,Low,HIGHER,30
102,103,Llama-3.1-8B,Baseline,7,7,Low,HIGHER,32
103,104,Llama-3.1-8B,Baseline,7,8,Low,HIGHER,32
104,105,Llama-3.1-8B,Baseline,7,1,High,HIGHER,105
105,106,Llama-3.1-8B,Baseline,7,2,High,HIGHER,102
106,107,Llama-3.1-8B,Baseline,7,3,High,HIGHER,105
107,108,Llama-3.1-8B,Baseline,7,4,High,HIGHER,55
108,109,Llama-3.1-8B,Baseline,7,5,High,HIGHER,32
109,110,Llama-3.1-8B,Baseline,7,6,High,HIGHER,93
110,111,Llama-3.1-8B,Baseline,7,7,High,HIGHER,90
111,112,Llama-3.1-8B,Baseline,7,8,High,HIGHER,105
112,113,Llama-3.1-8B,Baseline,8,1,Low,HIGHER,250000
113,114,Llama-3.1-8B,Baseline,8,2,Low,HIGHER,250000
114,115,Llama-3.1-8B,Baseline,8,3,Low,HIGHER,250000
115,116,Llama-3.1-8B,Baseline,8,4,Low,HIGHER,250000
116,117,Llama-3.1-8B,Baseline,8,5,Low,HIGHER,250000
117,118,Llama-3.1-8B,Baseline,8,6,Low,HIGHER,250000
118,119,Llama-3.1-8B,Baseline,8,7,Low,HIGHER,250000
119,120,Llama-3.1-8B,Baseline,8,8,Low,HIGHER,250000
120,121,Llama-3.1-8B,Baseline,8,1,High,HIGHER,750000
121,122,Llama-3.1-8B,Baseline,8,2,High,HIGHER,550000
122,123,Llama-3.1-8B,Baseline,8,3,High,HIGHER,250000
124,125,Llama-3.1-8B,Baseline,8,5,High,HIGHER,250000
125,126,Llama-3.1-8B,Baseline,8,6,High,HIGHER,250000
126,127,Llama-3.1-8B,Baseline,8,7,High,HIGHER,250000
127,128,Llama-3.1-8B,Baseline,8,8,High,HIGHER,250000
128,129,Llama-3.1-8B,Baseline,9,1,Low,HIGHER,125
129,130,Llama-3.1-8B,Baseline,9,2,Low,HIGHER,125
130,131,Llama-3.1-8B,Baseline,9,3,Low,HIGHER,125
131,132,Llama-3.1-8B,Baseline,9,4,Low,HIGHER,120
132,133,Llama-3.1-8B,Baseline,9,5,Low,HIGHER,125
133,134,Llama-3.1-8B,Baseline,9,6,Low,HIGHER,120
134,135,Llama-3.1-8B,Baseline,9,7,Low,HIGHER,125
135,136,Llama-3.1-8B,Baseline,9,8,Low,HIGHER,120
136,137,Llama-3.1-8B,Baseline,9,1,High,HIGHER,650
137,138,Llama-3.1-8B,Baseline,9,2,High,HIGHER,550
138,139,Llama-3.1-8B,Baseline,9,3,High,HIGHER,550
139,140,Llama-3.1-8B,Baseline,9,4,High,HIGHER,550
140,141,Llama-3.1-8B,Baseline,9,5,High,HIGHER,650
141,142,Llama-3.1-8B,Baseline,9,6,High,HIGHER,540
142,143,Llama-3.1-8B,Baseline,9,7,High,HIGHER,550
143,144,Llama-3.1-8B,Baseline,9,8,High,HIGHER,550
144,145,Llama-3.1-8B,Baseline,10,1,Low,HIGHER,35000
145,146,Llama-3.1-8B,Baseline,10,2,Low,HIGHER,50000
146,147,Llama-3.1-8B,Baseline,10,3,Low,HIGHER,50000
147,148,Llama-3.1-8B,Baseline,10,4,Low,HIGHER,35000
148,149,Llama-3.1-8B,Baseline,10,5,Low,HIGHER,50000
149,150,Llama-3.1-8B,Baseline,10,6,Low,HIGHER,50000
150,151,Llama-3.1-8B,Baseline,10,7,Low,HIGHER,35000
151,152,Llama-3.1-8B,Baseline,10,8,Low,HIGHER,35000
152,153,Llama-3.1-8B,Baseline,10,1,High,HIGHER,150000
153,154,Llama-3.1-8B,Baseline,10,2,High,HIGHER,150000
154,155,Llama-3.1-8B,Baseline,10,3,High,HIGHER,150000
155,156,Llama-3.1-8B,Baseline,10,4,High,HIGHER,250000
156,157,Llama-3.1-8B,Baseline,10,5,High,HIGHER,250000
157,158,Llama-3.1-8B,Baseline,10,6,High,HIGHER,120000
158,159,Llama-3.1-8B,Baseline,10,7,High,HIGHER,120000
159,160,Llama-3.1-8B,Baseline,10,8,High,HIGHER,150000
160,161,Llama-3.1-8B,Baseline,11,1,Low,HIGHER,30
161,162,Llama-3.1-8B,Baseline,11,2,Low,HIGHER,30
162,163,Llama-3.1-8B,Baseline,11,3,Low,HIGHER,35
163,164,Llama-3.1-8B,Baseline,11,4,Low,HIGHER,30
164,165,Llama-3.1-8B,Baseline,11,5,Low,HIGHER,30
165,166,Llama-3.1-8B,Baseline,11,6,Low,HIGHER,25
166,167,Llama-3.1-8B,Baseline,11,7,Low,HIGHER,25
167,168,Llama-3.1-8B,Baseline,11,8,Low,HIGHER,30
168,169,Llama-3.1-8B,Baseline,11,1,High,HIGHER,65
169,170,Llama-3.1-8B,Baseline,11,2,High,HIGHER,75
170,171,Llama-3.1-8B,Baseline,11,3,High,HIGHER,75
171,172,Llama-3.1-8B,Baseline,11,4,High,HIGHER,85
172,173,Llama-3.1-8B,Baseline,11,5,High,HIGHER,65
173,174,Llama-3.1-8B,Baseline,11,6,High,HIGHER,105
174,175,Llama-3.1-8B,Baseline,11,7,High,HIGHER,85
175,176,Llama-3.1-8B,Baseline,11,8,High,HIGHER,85
176,177,Llama-3.1-8B,Baseline,12,1,Low,HIGHER,120
177,178,Llama-3.1-8B,Baseline,12,2,Low,HIGHER,120
178,179,Llama-3.1-8B,Baseline,12,3,Low,HIGHER,120
179,180,Llama-3.1-8B,Baseline,12,4,Low,HIGHER,120
180,181,Llama-3.1-8B,Baseline,12,5,Low,HIGHER,120
