Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
1,DeepSeek-V3.1,Estimation-First,1,1,Low,HIGHER,10000
2,DeepSeek-V3.1,Estimation-First,1,2,Low,HIGHER,10000
3,DeepSeek-V3.1,Estimation-First,1,3,Low,HIGHER,10000
4,DeepSeek-V3.1,Estimation-First,1,4,Low,HIGHER,15000
5,DeepSeek-V3.1,Estimation-First,1,5,Low,HIGHER,10000
6,DeepSeek-V3.1,Estimation-First,1,6,Low,HIGHER,10000
7,DeepSeek-V3.1,Estimation-First,1,7,Low,HIGHER,8000
8,DeepSeek-V3.1,Estimation-First,1,8,Low,HIGHER,10000
9,DeepSeek-V3.1,Estimation-First,1,1,High,HIGHER,15000
10,DeepSeek-V3.1,Estimation-First,1,2,High,HIGHER,12000
11,DeepSeek-V3.1,Estimation-First,1,3,High,HIGHER,12000
12,DeepSeek-V3.1,Estimation-First,1,4,High,HIGHER,15000
13,DeepSeek-V3.1,Estimation-First,1,5,High,HIGHER,12000
14,DeepSeek-V3.1,Estimation-First,1,6,High,HIGHER,15000
15,DeepSeek-V3.1,Estimation-First,1,7,High,HIGHER,15000
16,DeepSeek-V3.1,Estimation-First,1,8,High,HIGHER,12000
17,DeepSeek-V3.1,Estimation-First,2,1,Low,,1250
18,DeepSeek-V3.1,Estimation-First,2,2,Low,LOWER,75
19,DeepSeek-V3.1,Estimation-First,2,3,Low,HIGHER,12
20,DeepSeek-V3.1,Estimation-First,2,4,Low,HIGHER,15
21,DeepSeek-V3.1,Estimation-First,2,5,Low,HIGHER,13
22,DeepSeek-V3.1,Estimation-First,2,6,Low,HIGHER,13
23,DeepSeek-V3.1,Estimation-First,2,7,Low,HIGHER,14
24,DeepSeek-V3.1,Estimation-First,2,8,Low,HIGHER,12
25,DeepSeek-V3.1,Estimation-First,2,1,High,LOWER,16
26,DeepSeek-V3.1,Estimation-First,2,2,High,LOWER,15
27,DeepSeek-V3.1,Estimation-First,2,3,High,LOWER,15
28,DeepSeek-V3.1,Estimation-First,2,4,High,LOWER,16
29,DeepSeek-V3.1,Estimation-First,2,5,High,LOWER,15
30,DeepSeek-V3.1,Estimation-First,2,6,High,LOWER,14
31,DeepSeek-V3.1,Estimation-First,2,7,High,LOWER,15
32,DeepSeek-V3.1,Estimation-First,2,8,High,LOWER,15
33,DeepSeek-V3.1,Estimation-First,3,1,Low,HIGHER,130
34,DeepSeek-V3.1,Estimation-First,3,2,Low,HIGHER,130
35,DeepSeek-V3.1,Estimation-First,3,3,Low,HIGHER,130
36,DeepSeek-V3.1,Estimation-First,3,4,Low,HIGHER,130
37,DeepSeek-V3.1,Estimation-First,3,5,Low,HIGHER,125
38,DeepSeek-V3.1,Estimation-First,3,6,Low,HIGHER,130
39,DeepSeek-V3.1,Estimation-First,3,7,Low,HIGHER,125
40,DeepSeek-V3.1,Estimation-First,3,8,Low,HIGHER,125
41,DeepSeek-V3.1,Estimation-First,3,1,High,LOWER,130
42,DeepSeek-V3.1,Estimation-First,3,2,High,LOWER,140
43,DeepSeek-V3.1,Estimation-First,3,3,High,LOWER,150
44,DeepSeek-V3.1,Estimation-First,3,4,High,LOWER,130
45,DeepSeek-V3.1,Estimation-First,3,5,High,LOWER,135
46,DeepSeek-V3.1,Estimation-First,3,6,High,LOWER,150
47,DeepSeek-V3.1,Estimation-First,3,7,High,LOWER,150
48,DeepSeek-V3.1,Estimation-First,3,8,High,LOWER,150
49,DeepSeek-V3.1,Estimation-First,4,1,Low,HIGHER,10000
50,DeepSeek-V3.1,Estimation-First,4,2,Low,,80001000012000
