,Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
0,1,Llama-3.1-8B,Estimate-First,1,1,Low,HIGHER,5000
1,2,Llama-3.1-8B,Estimate-First,1,2,Low,HIGHER,12000
2,3,Llama-3.1-8B,Estimate-First,1,3,Low,HIGHER,15000
3,4,Llama-3.1-8B,Estimate-First,1,4,Low,HIGHER,8000
4,5,Llama-3.1-8B,Estimate-First,1,5,Low,HIGHER,12000
5,6,Llama-3.1-8B,Estimate-First,1,6,Low,HIGHER,12000
6,7,Llama-3.1-8B,Estimate-First,1,7,Low,HIGHER,8500
7,8,Llama-3.1-8B,Estimate-First,1,8,Low,HIGHER,15000
8,9,Llama-3.1-8B,Estimate-First,1,1,High,LOWER,6000
9,10,Llama-3.1-8B,Estimate-First,1,2,High,HIGHER,12000
10,11,Llama-3.1-8B,Estimate-First,1,3,High,HIGHER,12000
11,12,Llama-3.1-8B,Estimate-First,1,4,High,HIGHER,12000
12,13,Llama-3.1-8B,Estimate-First,1,5,High,HIGHER,12000
13,14,Llama-3.1-8B,Estimate-First,1,6,High,LOWER,6500
14,15,Llama-3.1-8B,Estimate-First,1,7,High,LOWER,6000
15,16,Llama-3.1-8B,Estimate-First,1,8,High,HIGHER,12000
16,17,Llama-3.1-8B,Estimate-First,2,1,Low,LOWER,750
17,18,Llama-3.1-8B,Estimate-First,2,2,Low,LOWER,750
18,19,Llama-3.1-8B,Estimate-First,2,3,Low,LOWER,750
19,20,Llama-3.1-8B,Estimate-First,2,4,Low,LOWER,750
20,21,Llama-3.1-8B,Estimate-First,2,5,Low,LOWER,750
21,22,Llama-3.1-8B,Estimate-First,2,6,Low,LOWER,750
22,23,Llama-3.1-8B,Estimate-First,2,7,Low,LOWER,750
23,24,Llama-3.1-8B,Estimate-First,2,8,Low,LOWER,750
24,25,Llama-3.1-8B,Estimate-First,2,1,High,LOWER,18
25,26,Llama-3.1-8B,Estimate-First,2,2,High,LOWER,18
26,27,Llama-3.1-8B,Estimate-First,2,3,High,LOWER,18
27,28,Llama-3.1-8B,Estimate-First,2,4,High,LOWER,1850
28,29,Llama-3.1-8B,Estimate-First,2,5,High,LOWER,25
29,30,Llama-3.1-8B,Estimate-First,2,6,High,LOWER,15
